GforgeID, FileName, FileSize, FileSize, AddDate, AddedBy, Description
25629, 25629_Screenshot1.jpg, 425728, image/jpeg, 01/11/2010 13:49:51, raoa, Screenshot1
25629, 25629_Screenshot2.jpg, 559332, image/jpeg, 01/11/2010 13:50:12, raoa, Screenshot2
25630, PSC_Template_release.doc, 374784, application/msword, 01/11/2010 15:01:29, raoa, Screenshots and steps
25673, LabViewerExistingReg.doc, 660480, application/msword, 01/12/2010 15:25:45, raoa, Screenshots
25673, 25673_ctom.log, 1553, application/octet-stream, 01/12/2010 15:26:44, raoa, ctom.log file
25674, OC_Enrollments.doc, 179712, application/msword, 01/12/2010 15:37:48, raoa, Screenshots
25677, OC_StudyEndDate.jpg, 144763, image/jpeg, 01/12/2010 15:51:10, raoa, Screenshot
25728, PSCCompanStudy.jpg, 273664, image/jpeg, 01/13/2010 13:23:45, raoa, Screenshot
25931, IE8-CSRegistration.jpg, 245224, image/jpeg, 01/20/2010 12:54:38, raoa, Screenshot
25932, IE8-BrdcstConfirmation.jpg, 158344, image/jpeg, 01/20/2010 13:01:59, raoa, Screenshot
25932, IE8-BrdcstConfirmation2.jpg, 161012, image/jpeg, 01/20/2010 13:51:59, raoa, Screenshot2
25932, IE8-BrdcstConfirmation3.jpg, 164904, image/jpeg, 01/20/2010 14:02:31, raoa, Screenshot3
25932, buttons_overlap_in_ie7.png, 274418, image/png, 03/15/2011 17:25:02, bkatz, screenshot
25933, IE8-LabViewerSearch.jpg, 127800, image/jpeg, 01/20/2010 13:12:19, raoa, Screenshot
25934, IE8-C3PRRandomization-1.jpg, 256152, image/jpeg, 01/20/2010 13:27:02, raoa, Screenshot1
25934, IE8-C3PRRandomization-2.jpg, 259996, image/jpeg, 01/20/2010 13:27:25, raoa, Screenshot2
25937, IE8-PSCError.jpg, 126259, image/jpeg, 01/20/2010 14:49:14, raoa, Screenshot
26427, LV_LoadLabsToCDMS.jpg, 186707, image/jpeg, 02/09/2010 16:57:42, raoa, Screenshot
