caAERS-webapp-2010-08-27 16:16:36,175 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 1514949
caAERS-webapp-2010-08-27 16:16:36,208 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:37,076 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:37,702 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:38,350 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 2810292
caAERS-webapp-2010-08-27 16:16:38,379 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:39,328 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:39,961 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:40,594 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 2482266
caAERS-webapp-2010-08-27 16:16:40,624 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:41,551 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:42,367 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:43,038 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 3809880
caAERS-webapp-2010-08-27 16:16:43,071 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:43,913 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:44,534 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:45,107 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.OrganizationResolver : Entering OrganizationResolver.getRemoteEntityByUniqueId(externalId : 170150)
caAERS-webapp-2010-08-27 16:16:45,107 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.OrganizationResolver : Entering OrganizationResolver.find()
caAERS-webapp-2010-08-27 16:16:45,139 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:46,005 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.OrganizationResolver : Exiting OrganizationResolver.find()
caAERS-webapp-2010-08-27 16:16:46,006 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 1855589
caAERS-webapp-2010-08-27 16:16:46,057 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
caAERS-webapp-2010-08-27 16:16:46,979 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_ORGANIZATION ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:47,614 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->IDENTIFIED_PERSON ::  OPERATION-->getByPlayerIds
caAERS-webapp-2010-08-27 16:16:48,257 [http-8443-Processor18] DEBUG gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver : Entering getRemoteEntityByUniqueId() for:class gov.nih.nci.cabig.caaers.resolver.ResearchStaffResolver - ExtId: 2751436
caAERS-webapp-2010-08-27 16:16:48,285 [http-8443-Processor18] INFO  gov.nih.nci.cabig.caaers.resolver.BaseResolver : COPPA CALL :: SERVICETYPE-->PO_BUSINESS ::  OPERATION-->searchCorrelationsWithEntities
